c5,c5,i4,r8
F0,L0,2,0.442327467
F0,L1,0,0.661425136
F0,L2,2,0.841265536
F0,L3,2,0.933486248
F0,L4,0,0.700174961
F0,L5,1,0.222052981
F0,L6,0,0.820815619
F0,L7,1,0.189863166
F0,L8,0,0.421589735
F0,L9,2,0.888305286
F0,L10,1,0.732497791
F0,L11,2,0.038435881
F0,L12,0,0.513980805
F0,L13,2,0.183483854
F0,L14,1,0.180207467
F0,L15,0,0.383916997
F0,L16,2,0.620361635
F0,L17,2,0.563968036
F0,L18,1,0.615481679
F0,L19,2,0.500814151
F0,L20,1,0.818093978
F0,L21,0,0.454662812
F0,L22,1,0.952912382
F0,L23,0,0.41913394
F0,L24,2,0.370120474
F0,L25,1,0.702030982
F0,L26,2,0.659355947
F0,L27,2,0.55353139
F0,L28,2,0.333604833
F0,L29,2,0.469766143
F0,L30,1,0.185923658
F0,L31,0,0.019160886
F0,L32,2,0.419159555
F0,L33,2,0.143747067
F0,L34,2,0.657976342
F0,L35,2,0.981709484
F0,L36,1,0.021737451
F0,L37,1,0.616155578
F0,L38,1,0.082130014
F0,L39,2,0.836713025
F0,L40,2,0.664335669
F0,L41,1,0.693110453
F0,L42,2,0.002837241
F0,L43,2,0.83728061
F0,L44,1,0.982322839
F0,L45,0,0.484812283
F0,L46,2,0.12354054
F0,L47,1,0.80716326
F0,L48,1,0.775738909
F0,L49,0,0.770331073
F0,L50,0,0.274676825
F0,L51,2,0.839457772
F0,L52,2,0.937500947
F0,L53,2,0.118494754
F0,L54,2,0.685797658
F0,L55,2,0.926269833
F0,L56,1,0.267110923
F0,L57,2,0.238920745
F0,L58,0,0.521484681
F0,L59,2,0.561877274
F0,L60,0,0.264122069
F0,L61,0,0.739523072
F0,L62,2,0.337185053
F0,L63,2,0.766220453
F0,L64,2,0.097063957
F0,L65,2,0.394641765
F0,L66,1,0.565044333
F0,L67,2,0.176157495
F0,L68,2,0.617419697
F0,L69,0,0.756475793
F0,L70,2,0.461626548
F0,L71,2,0.822491673
F0,L72,1,0.762129685
F0,L73,1,0.656326382
F0,L74,0,0.546307262
F0,L75,1,0.659314472
F0,L76,2,0.11137825
F0,L77,2,0.885218186
F0,L78,0,0.38521067
F0,L79,1,0.531092692
F0,L80,0,0.062393733
F0,L81,0,0.269083536
F0,L82,1,0.381808993
F0,L83,0,0.978919686
F0,L84,0,0.787821028
F0,L85,0,0.974563066
F0,L86,1,0.81956478
F0,L87,0,0.511583174
F0,L88,2,0.283947565
F0,L89,1,0.319667068
F0,L90,1,0.859002477
F0,L91,0,0.84508074
F0,L92,2,0.716595058
F0,L93,0,0.600498874
F0,L94,2,0.162942144
F0,L95,1,0.275824158
F0,L96,1,0.449617057
F0,L97,0,0.571787302
F0,L98,0,0.747796916
F0,L99,1,0.162271251
F0,L100,2,0.523330839
F0,L101,1,0.685301827
F0,L102,0,0.021173776
F0,L103,1,0.295743007
F0,L104,0,0.540402601
F0,L105,1,0.055905965
F0,L106,2,0.548755469
F0,L107,0,0.32673136
F0,L108,0,0.439107296
F0,L109,0,0.308982367
F0,L110,0,0.225676255
F0,L111,2,0.945461955
F0,L112,0,0.184792927
F0,L113,1,0.993561741
F0,L114,1,0.335318522
F0,L115,0,0.996605418
F0,L116,0,0.107952814
F0,L117,1,0.510398431
F0,L118,0,0.634495818
F0,L119,2,0.423961207
F0,L120,0,0.251590721
F0,L121,1,0.500532311
F0,L122,1,0.578083537
F0,L123,1,0.912179146
F0,L124,0,0.373465846
F0,L125,1,0.224001414
F0,L126,1,0.104907898
F0,L127,2,0.32401784
F0,L128,1,0.064115467
F0,L129,0,0.596145721
F0,L130,2,0.863586584
F0,L131,0,0.762523534
F0,L132,2,0.09493909
F0,L133,0,0.565562829
F0,L134,1,0.222380702
F0,L135,1,0.041481105
F0,L136,2,0.579624686
F0,L137,2,0.347812318
F0,L138,2,0.038194795
F0,L139,0,0.982548079
F0,L140,0,0.716223784
F0,L141,1,0.466363206
F0,L142,0,0.660749873
F0,L143,2,0.716016399
F0,L144,1,0.847521798
F0,L145,1,0.500356048
F0,L146,0,0.519632692
F0,L147,0,0.720911588
F0,L148,0,0.827171342
F0,L149,0,0.16020704
F0,L150,2,0.432241003
F0,L151,2,0.860269517
F0,L152,1,0.373395551
F0,L153,0,0.67898182
F0,L154,0,0.324329859
F0,L155,1,0.044433632
F0,L156,2,0.317841966
F0,L157,1,0.251260796
F0,L158,2,0.763515432
F0,L159,2,0.268973254
F0,L160,0,0.67316172
F0,L161,2,0.212723512
F0,L162,1,0.75819118
F0,L163,0,0.73859538
F0,L164,1,0.929770662
F0,L165,1,0.033093309
F0,L166,0,0.905203944
F0,L167,0,0.202839173
F0,L168,0,0.302555409
F0,L169,2,0.801974632
F0,L170,0,0.711555036
F0,L171,0,0.826413749
F0,L172,1,0.056433093
F0,L173,0,0.390431399
F0,L174,2,0.847431973
F0,L175,0,0.214147295
F0,L176,1,0.991948016
F0,L177,1,0.649212015
F0,L178,0,0.086018965
F0,L179,0,0.15941807
F0,L180,1,0.536655336
F0,L181,1,0.995025686
F0,L182,2,0.672629218
F0,L183,0,0.321766689
F0,L184,2,0.204939886
F0,L185,0,0.286280363
F0,L186,1,0.061476084
F0,L187,2,0.134653918
F0,L188,2,0.920062711
F0,L189,0,0.605654802
F0,L190,0,0.129455058
F0,L191,2,0.552910632
F0,L192,1,0.471406078
F0,L193,0,0.164613404
F0,L194,0,0.686120233
F0,L195,2,0.760583834
F0,L196,2,0.262765045
F0,L197,2,0.099678866
F0,L198,2,0.957961195
F0,L199,1,0.147250179
F0,L200,0,0.22164948
F0,L201,1,0.126525188
F0,L202,1,0.640340979
F0,L203,2,0.932450338
F0,L204,1,0.934326432
F0,L205,0,0.399685967
F0,L206,2,0.536150959
F0,L207,2,0.966079866
F0,L208,1,0.568041556
F0,L209,0,0.146212775
F0,L210,0,0.987344598
F0,L211,1,0.884111384
F0,L212,0,0.183670402
F0,L213,2,0.713657994
F0,L214,2,0.551884388
F0,L215,1,0.865050377
F0,L216,2,0.54400831
F0,L217,0,0.21836976
F0,L218,0,0.279000615
F0,L219,1,0.358554652
F0,L220,2,0.321921411
F0,L221,1,0.480715458
F0,L222,2,0.631617236
F0,L223,0,0.973552616
F0,L224,1,0.717444843
F0,L225,1,0.980317305
F0,L226,2,0.534827626
F0,L227,1,0.083241052
F0,L228,0,0.334286464
F0,L229,0,0.106883081
F0,L230,0,0.178750881
F0,L231,1,0.977158408
F0,L232,2,0.846619036
F0,L233,1,0.580317628
F0,L234,1,0.355196389
F0,L235,0,0.649124471
F0,L236,2,0.530931458
F0,L237,0,0.986451408
F0,L238,0,0.089409294
F0,L239,2,0.621592909
F0,L240,1,0.341351139
F0,L241,2,0.450242632
F0,L242,2,0.766742307
F0,L243,2,0.873639313
F0,L244,2,0.488408844
F0,L245,1,0.434392001
F0,L246,2,0.522248438
F0,L247,2,0.747534714
F0,L248,2,0.73073269
F0,L249,1,0.005027949
F0,L250,1,0.328642865
F0,L251,2,0.178142781
F0,L252,1,0.018544175
F0,L253,1,0.003916869
F0,L254,1,0.501442158
F0,L255,2,0.225109301
F0,L256,2,0.120874791
F0,L257,0,0.874350597
F0,L258,0,0.552830459
F0,L259,0,0.429244412
F0,L260,2,0.230791603
F0,L261,0,0.230655584
F0,L262,0,0.828278137
F0,L263,0,0.185262356
F0,L264,0,0.752152257
F0,L265,2,0.073726592
F0,L266,1,0.809374742
F0,L267,1,0.081150578
F0,L268,2,0.926918965
F0,L269,1,0.131056175
F0,L270,2,0.566836144
F0,L271,2,0.942269414
F0,L272,1,0.235136749
F0,L273,2,0.542731912
F0,L274,0,0.600182412
F0,L275,2,0.312596796
F0,L276,1,0.583485254
F0,L277,2,0.787498836
F0,L278,1,0.253010221
F0,L279,0,0.967458705
F0,L280,1,0.857888667
F0,L281,0,0.717308965
F0,L282,1,0.389826882
F0,L283,0,0.17713623
F0,L284,2,0.037924753
F0,L285,0,0.076244295
F0,L286,1,0.95367512
F0,L287,2,0.208794599
F0,L288,0,0.514503813
F0,L289,0,0.261127637
F0,L290,0,0.081734251
F0,L291,1,0.579498176
F0,L292,2,0.69815363
F0,L293,2,0.036721581
F0,L294,2,0.374086875
F0,L295,1,0.95428902
F0,L296,0,0.305787984
F0,L297,0,0.757728516
F0,L298,0,0.721115698
F0,L299,2,0.153425156
F0,L300,1,0.64346599
F0,L301,1,0.541792461
F0,L302,1,0.376645994
F0,L303,2,0.309278625
F0,L304,1,0.707658455
F0,L305,0,0.060683175
F0,L306,1,0.092950948
F0,L307,2,0.84784306
F0,L308,1,0.376088801
F0,L309,2,0.808512853
F0,L310,1,0.532940857
F0,L311,0,0.198426101
F0,L312,0,0.391348559
F0,L313,2,0.113264606
F0,L314,2,0.56399123
F0,L315,0,0.228413941
F0,L316,1,0.21811579
F0,L317,0,0.887544511
F0,L318,0,0.683528518
F0,L319,0,0.612873898
F0,L320,1,0.311717908
F0,L321,2,0.382128492
F0,L322,2,0.79216429
F0,L323,1,0.170466197
F0,L324,2,0.427642293
F0,L325,1,0.586752381
F0,L326,0,0.926198349
F0,L327,0,0.601299206
F0,L328,2,0.555946845
F0,L329,0,0.601263636
F0,L330,2,0.794928175
F0,L331,0,0.756992332
F0,L332,0,0.03077505
F0,L333,0,0.320657029
F0,L334,2,0.993503718
F0,L335,1,0.250689267
F0,L336,2,0.664621448
F0,L337,0,0.292978443
F0,L338,0,0.330034357
F0,L339,2,0.801850063
F0,L340,2,0.132791557
F0,L341,2,0.132292901
F0,L342,2,0.614135346
F0,L343,0,0.618476448
F0,L344,0,0.700690615
F0,L345,1,0.521946939
F0,L346,0,0.597825003
F0,L347,1,0.493497004
F0,L348,2,0.082076094
F0,L349,2,0.607657416
F0,L350,1,0.180249999
F0,L351,0,0.262242844
F0,L352,2,0.249004361
F0,L353,2,0.546346873
F0,L354,1,0.923603287
F0,L355,0,0.198535878
F0,L356,2,0.314560543
F0,L357,1,0.595317432
F0,L358,2,0.86415573
F0,L359,1,0.666524229
F0,L360,0,0.780118465
F0,L361,1,0.456879388
F0,L362,0,0.321779543
F0,L363,0,0.477040778
F0,L364,0,0.004249724
F0,L365,0,0.554873557
F0,L366,1,0.242795726
F0,L367,1,0.488313947
