c5,c5,i4,r8
F0,L0,2,0.442327
F0,L1,0,0.661425
F0,L2,2,0.841266
F0,L3,2,0.933486
F0,L4,0,0.700175
F0,L5,1,0.222053
F0,L6,0,0.820816
F0,L7,1,0.189863
F0,L8,0,0.42159
F0,L9,2,0.888305
F0,L10,1,0.732498
F0,L11,2,0.038436
F0,L12,0,0.513981
F0,L13,2,0.183484
F0,L14,1,0.180207
F0,L15,0,0.383917
F0,L16,2,0.620362
F0,L17,2,0.563968
F0,L18,1,0.615482
F0,L19,2,0.500814
F0,L20,1,0.818094
F0,L21,0,0.454663
F0,L22,1,0.952912
F0,L23,0,0.419134
F0,L24,2,0.37012
F0,L25,1,0.702031
F0,L26,2,0.659356
F0,L27,2,0.553531
F0,L28,2,0.333605
F0,L29,2,0.469766
F0,L30,1,0.185924
F0,L31,0,0.019161
F0,L32,2,0.41916
F0,L33,2,0.143747
F0,L34,2,0.657976
F0,L35,2,0.981709
F0,L36,1,0.021737
F0,L37,1,0.616156
F0,L38,1,0.08213
F0,L39,2,0.836713
F0,L40,2,0.664336
F0,L41,1,0.69311
F0,L42,2,0.002837
F0,L43,2,0.837281
F0,L44,1,0.982323
F0,L45,0,0.484812
F0,L46,2,0.123541
F0,L47,1,0.807163
F0,L48,1,0.775739
F0,L49,0,0.770331
F0,L50,0,0.274677
F0,L51,2,0.839458
F0,L52,2,0.937501
F0,L53,2,0.118495
F0,L54,2,0.685798
F0,L55,2,0.92627
F0,L56,1,0.267111
F0,L57,2,0.238921
F0,L58,0,0.521485
F0,L59,2,0.561877
F0,L60,0,0.264122
F0,L61,0,0.739523
F0,L62,2,0.337185
F0,L63,2,0.76622
F0,L64,2,0.097064
F0,L65,2,0.394642
F0,L66,1,0.565044
F0,L67,2,0.176157
F0,L68,2,0.61742
F0,L69,0,0.756476
F0,L70,2,0.461627
F0,L71,2,0.822492
F0,L72,1,0.76213
F0,L73,1,0.656326
F0,L74,0,0.546307
F0,L75,1,0.659314
F0,L76,2,0.111378
F0,L77,2,0.885218
F0,L78,0,0.385211
F0,L79,1,0.531093
F0,L80,0,0.062394
F0,L81,0,0.269084
F0,L82,1,0.381809
F0,L83,0,0.97892
F0,L84,0,0.787821
F0,L85,0,0.974563
F0,L86,1,0.819565
F0,L87,0,0.511583
F0,L88,2,0.283948
F0,L89,1,0.319667
F0,L90,1,0.859002
F0,L91,0,0.845081
F0,L92,2,0.716595
F0,L93,0,0.600499
F0,L94,2,0.162942
F0,L95,1,0.275824
F0,L96,1,0.449617
F0,L97,0,0.571787
F0,L98,0,0.747797
F0,L99,1,0.162271
F0,L100,2,0.523331
F0,L101,1,0.685302
F0,L102,0,0.021174
F0,L103,1,0.295743
F0,L104,0,0.540403
F0,L105,1,0.055906
F0,L106,2,0.548755
F0,L107,0,0.326731
F0,L108,0,0.439107
F0,L109,0,0.308982
F0,L110,0,0.225676
F0,L111,2,0.945462
F0,L112,0,0.184793
F0,L113,1,0.993562
F0,L114,1,0.335319
F0,L115,0,0.996605
F0,L116,0,0.107953
F0,L117,1,0.510398
F0,L118,0,0.634496
F0,L119,2,0.423961
F0,L120,0,0.251591
F0,L121,1,0.500532
F0,L122,1,0.578084
F0,L123,1,0.912179
F0,L124,0,0.373466
F0,L125,1,0.224001
F0,L126,1,0.104908
F0,L127,2,0.324018
F0,L128,1,0.064115
F0,L129,0,0.596146
F0,L130,2,0.863587
F0,L131,0,0.762524
F0,L132,2,0.094939
F0,L133,0,0.565563
F0,L134,1,0.222381
F0,L135,1,0.041481
F0,L136,2,0.579625
F0,L137,2,0.347812
F0,L138,2,0.038195
F0,L139,0,0.982548
F0,L140,0,0.716224
F0,L141,1,0.466363
F0,L142,0,0.66075
F0,L143,2,0.716016
F0,L144,1,0.847522
F0,L145,1,0.500356
F0,L146,0,0.519633
F0,L147,0,0.720912
F0,L148,0,0.827171
F0,L149,0,0.160207
F0,L150,2,0.432241
F0,L151,2,0.86027
F0,L152,1,0.373396
F0,L153,0,0.678982
F0,L154,0,0.32433
F0,L155,1,0.044434
F0,L156,2,0.317842
F0,L157,1,0.251261
F0,L158,2,0.763515
F0,L159,2,0.268973
F0,L160,0,0.673162
F0,L161,2,0.212724
F0,L162,1,0.758191
F0,L163,0,0.738595
F0,L164,1,0.929771
F0,L165,1,0.033093
F0,L166,0,0.905204
F0,L167,0,0.202839
F0,L168,0,0.302555
F0,L169,2,0.801975
F0,L170,0,0.711555
F0,L171,0,0.826414
F0,L172,1,0.056433
F0,L173,0,0.390431
F0,L174,2,0.847432
F0,L175,0,0.214147
F0,L176,1,0.991948
F0,L177,1,0.649212
F0,L178,0,0.086019
F0,L179,0,0.159418
F0,L180,1,0.536655
F0,L181,1,0.995026
F0,L182,2,0.672629
F0,L183,0,0.321767
F0,L184,2,0.20494
F0,L185,0,0.28628
F0,L186,1,0.061476
F0,L187,2,0.134654
F0,L188,2,0.920063
F0,L189,0,0.605655
F0,L190,0,0.129455
F0,L191,2,0.552911
F0,L192,1,0.471406
F0,L193,0,0.164613
F0,L194,0,0.68612
F0,L195,2,0.760584
F0,L196,2,0.262765
F0,L197,2,0.099679
F0,L198,2,0.957961
F0,L199,1,0.14725
F0,L200,0,0.221649
F0,L201,1,0.126525
F0,L202,1,0.640341
F0,L203,2,0.93245
F0,L204,1,0.934326
F0,L205,0,0.399686
F0,L206,2,0.536151
F0,L207,2,0.96608
F0,L208,1,0.568042
F0,L209,0,0.146213
F0,L210,0,0.987345
F0,L211,1,0.884111
F0,L212,0,0.18367
F0,L213,2,0.713658
F0,L214,2,0.551884
F0,L215,1,0.86505
F0,L216,2,0.544008
F0,L217,0,0.21837
F0,L218,0,0.279001
F0,L219,1,0.358555
F0,L220,2,0.321921
F0,L221,1,0.480715
F0,L222,2,0.631617
F0,L223,0,0.973553
F0,L224,1,0.717445
F0,L225,1,0.980317
F0,L226,2,0.534828
F0,L227,1,0.083241
F0,L228,0,0.334286
F0,L229,0,0.106883
F0,L230,0,0.178751
F0,L231,1,0.977158
F0,L232,2,0.846619
F0,L233,1,0.580318
F0,L234,1,0.355196
F0,L235,0,0.649124
F0,L236,2,0.530931
F0,L237,0,0.986451
F0,L238,0,0.089409
F0,L239,2,0.621593
F0,L240,1,0.341351
F0,L241,2,0.450243
F0,L242,2,0.766742
F0,L243,2,0.873639
F0,L244,2,0.488409
F0,L245,1,0.434392
F0,L246,2,0.522248
F0,L247,2,0.747535
F0,L248,2,0.730733
F0,L249,1,0.005028
F0,L250,1,0.328643
F0,L251,2,0.178143
F0,L252,1,0.018544
F0,L253,1,0.003917
F0,L254,1,0.501442
F0,L255,2,0.225109
F0,L256,2,0.120875
F0,L257,0,0.874351
F0,L258,0,0.55283
F0,L259,0,0.429244
F0,L260,2,0.230792
F0,L261,0,0.230656
F0,L262,0,0.828278
F0,L263,0,0.185262
F0,L264,0,0.752152
F0,L265,2,0.073727
F0,L266,1,0.809375
F0,L267,1,0.081151
F0,L268,2,0.926919
F0,L269,1,0.131056
F0,L270,2,0.566836
F0,L271,2,0.942269
F0,L272,1,0.235137
F0,L273,2,0.542732
F0,L274,0,0.600182
F0,L275,2,0.312597
F0,L276,1,0.583485
F0,L277,2,0.787499
F0,L278,1,0.25301
F0,L279,0,0.967459
F0,L280,1,0.857889
F0,L281,0,0.717309
F0,L282,1,0.389827
F0,L283,0,0.177136
F0,L284,2,0.037925
F0,L285,0,0.076244
F0,L286,1,0.953675
F0,L287,2,0.208795
F0,L288,0,0.514504
F0,L289,0,0.261128
F0,L290,0,0.081734
F0,L291,1,0.579498
F0,L292,2,0.698154
F0,L293,2,0.036722
F0,L294,2,0.374087
F0,L295,1,0.954289
F0,L296,0,0.305788
F0,L297,0,0.757729
F0,L298,0,0.721116
F0,L299,2,0.153425
F0,L300,1,0.643466
F0,L301,1,0.541792
F0,L302,1,0.376646
F0,L303,2,0.309279
F0,L304,1,0.707658
F0,L305,0,0.060683
F0,L306,1,0.092951
F0,L307,2,0.847843
F0,L308,1,0.376089
F0,L309,2,0.808513
F0,L310,1,0.532941
F0,L311,0,0.198426
F0,L312,0,0.391349
F0,L313,2,0.113265
F0,L314,2,0.563991
F0,L315,0,0.228414
F0,L316,1,0.218116
F0,L317,0,0.887545
F0,L318,0,0.683529
F0,L319,0,0.612874
F0,L320,1,0.311718
F0,L321,2,0.382128
F0,L322,2,0.792164
F0,L323,1,0.170466
F0,L324,2,0.427642
F0,L325,1,0.586752
F0,L326,0,0.926198
F0,L327,0,0.601299
F0,L328,2,0.555947
F0,L329,0,0.601264
F0,L330,2,0.794928
F0,L331,0,0.756992
F0,L332,0,0.030775
F0,L333,0,0.320657
F0,L334,2,0.993504
F0,L335,1,0.250689
F0,L336,2,0.664621
F0,L337,0,0.292978
F0,L338,0,0.330034
F0,L339,2,0.80185
F0,L340,2,0.132792
F0,L341,2,0.132293
F0,L342,2,0.614135
F0,L343,0,0.618476
F0,L344,0,0.700691
F0,L345,1,0.521947
F0,L346,0,0.597825
F0,L347,1,0.493497
F0,L348,2,0.082076
F0,L349,2,0.607657
F0,L350,1,0.18025
F0,L351,0,0.262243
F0,L352,2,0.249004
F0,L353,2,0.546347
F0,L354,1,0.923603
F0,L355,0,0.198536
F0,L356,2,0.314561
F0,L357,1,0.595317
F0,L358,2,0.864156
F0,L359,1,0.666524
F0,L360,0,0.780118
F0,L361,1,0.456879
F0,L362,0,0.32178
F0,L363,0,0.477041
F0,L364,0,0.00425
F0,L365,0,0.554874
F0,L366,1,0.242796
F0,L367,1,0.488314
F0,L368,1,0.406777
F0,L369,2,0.539968
F0,L370,1,0.68041
F0,L371,0,0.843082
F0,L372,1,0.787013
F0,L373,0,0.987865
F0,L374,0,0.49726
F0,L375,2,0.133687
F0,L376,2,0.999964
F0,L377,1,0.965692
F0,L378,1,0.73541
F0,L379,1,0.754061
F0,L380,0,0.810174
F0,L381,0,0.753329
F0,L382,2,0.357097
F0,L383,1,0.737538
F0,L384,0,0.913631
F0,L385,2,0.48402
F0,L386,2,0.028135
F0,L387,1,0.731414
F0,L388,2,0.189537
F0,L389,0,0.137617
F0,L390,1,0.155475
F0,L391,0,0.146734
F0,L392,2,0.193205
F0,L393,0,0.114655
F0,L394,1,0.658191
F0,L395,0,0.402932
F0,L396,0,0.628326
F0,L397,1,0.334196
F0,L398,2,0.651308
F0,L399,0,0.004085
F0,L400,1,0.112682
F0,L401,0,0.33634
F0,L402,1,0.855244
F0,L403,0,0.613406
F0,L404,1,0.469141
F0,L405,2,0.494045
F0,L406,0,0.658208
F0,L407,2,0.496308
F0,L408,0,0.198612
F0,L409,0,0.020687
F0,L410,1,0.19927
F0,L411,0,0.57548
F0,L412,0,0.810349
F0,L413,1,0.730905
F0,L414,2,0.997716
F0,L415,1,0.763776
F0,L416,1,0.556483
F0,L417,1,0.313637
F0,L418,2,0.718096
F0,L419,2,0.326551
F0,L420,1,0.522476
F0,L421,2,0.407998
F0,L422,0,0.865502
F0,L423,1,0.373135
F0,L424,0,0.316021
F0,L425,1,0.844407
F0,L426,1,0.08424
F0,L427,0,0.520258
F0,L428,1,0.047963
F0,L429,2,0.693994
F0,L430,1,0.364308
F0,L431,1,0.625961
F0,L432,0,0.356609
F0,L433,0,0.037272
F0,L434,0,0.719993
F0,L435,1,0.812536
F0,L436,1,0.759309
F0,L437,1,0.755846
F0,L438,2,0.716157
F0,L439,2,0.817424
F0,L440,1,0.162546
F0,L441,1,0.915811
F0,L442,0,0.800325
F0,L443,2,0.802402
F0,L444,0,0.385926
F0,L445,2,0.054806
F0,L446,1,0.518932
F0,L447,2,0.86853
F0,L448,0,0.690052
F0,L449,0,0.622233
F0,L450,2,0.917628
F0,L451,0,0.656603
F0,L452,1,0.59916
F0,L453,0,0.029248
F0,L454,1,0.358678
F0,L455,1,0.033805
F0,L456,2,0.503948
F0,L457,2,0.926176
F0,L458,0,0.540466
F0,L459,1,0.184936
F0,L460,0,0.26778
F0,L461,0,0.984116
F0,L462,1,0.129037
F0,L463,0,0.633367
F0,L464,1,0.16162
F0,L465,1,0.267864
F0,L466,0,0.360414
F0,L467,2,0.239503
F0,L468,1,0.162828
F0,L469,1,0.261662
F0,L470,2,0.543037
F0,L471,2,0.974154
F0,L472,0,0.885384
F0,L473,1,0.369772
F0,L474,0,0.176752
F0,L475,1,0.886353
F0,L476,2,0.001086
F0,L477,0,0.741786
F0,L478,1,0.54994
F0,L479,1,0.80963
F0,L480,0,0.971588
F0,L481,2,0.158964
F0,L482,0,0.118147
F0,L483,1,0.841916
F0,L484,0,0.670515
F0,L485,0,0.412673
F0,L486,1,0.691203
F0,L487,2,0.840646
F0,L488,1,0.135751
F0,L489,1,0.668997
F0,L490,1,0.743687
F0,L491,1,0.179324
F0,L492,1,0.278868
F0,L493,2,0.163543
F0,L494,2,0.844606
F0,L495,0,0.88216
F0,L496,1,0.087791
F0,L497,0,0.735848
F0,L498,2,0.902484
F0,L499,0,0.291161
F0,L500,0,0.30828
F0,L501,1,0.081238
F0,L502,0,0.314406
F0,L503,2,0.411375
F0,L504,1,0.069841
F0,L505,1,0.666507
F0,L506,1,0.161752
F0,L507,2,0.545376
F0,L508,2,0.644
F0,L509,0,0.380969
F0,L510,2,0.827904
F0,L511,2,0.2724
F0,L512,1,0.871401
F0,L513,1,0.641953
F0,L514,2,0.137704
F0,L515,2,0.99005
F0,L516,2,0.574526
F0,L517,1,0.668953
F0,L518,2,0.695121
F0,L519,2,0.340888
F0,L520,2,0.96254
F0,L521,1,0.417947
F0,L522,2,0.181721
F0,L523,1,0.850381
F0,L524,0,0.033236
F0,L525,1,0.520807
F0,L526,1,0.178297
F0,L527,1,0.949134
F0,L528,1,0.855593
F0,L529,1,0.90759
F0,L530,2,0.586214
F0,L531,0,0.417725
F0,L532,1,0.368258
F0,L533,1,0.364415
F0,L534,2,0.001723
F0,L535,1,0.837983
F0,L536,0,0.61927
F0,L537,0,0.468875
F0,L538,2,0.780226
F0,L539,0,0.255702
F0,L540,2,0.787611
F0,L541,1,0.379665
F0,L542,2,0.909962
F0,L543,1,0.336423
F0,L544,2,0.626323
F0,L545,1,0.178436
F0,L546,2,0.884269
F0,L547,1,0.442328
F0,L548,0,0.330809
F0,L549,0,0.569789
F0,L550,2,0.253794
F0,L551,0,0.373104
F0,L552,1,0.116903
F0,L553,2,0.049474
F0,L554,1,0.487009
F0,L555,1,0.829845
F0,L556,1,0.765931
F0,L557,0,0.320212
F0,L558,1,0.748271
F0,L559,0,0.79605
F0,L560,1,0.004437
F0,L561,0,0.047359
F0,L562,0,0.593385
F0,L563,1,0.035336
F0,L564,2,0.202774
F0,L565,0,0.640666
F0,L566,0,0.806039
F0,L567,2,0.317683
F0,L568,0,0.539371
F0,L569,1,0.870633
F0,L570,0,0.374353
F0,L571,2,0.075445
F0,L572,0,0.448072
F0,L573,2,0.884976
F0,L574,1,0.201641
F0,L575,2,0.211841
F0,L576,0,0.978326
F0,L577,2,0.79817
F0,L578,0,0.622904
F0,L579,0,0.227421
F0,L580,0,0.207847
F0,L581,2,0.060313
F0,L582,2,0.268795
F0,L583,2,0.667772
F0,L584,0,0.28218
F0,L585,0,0.455015
F0,L586,2,0.68915
F0,L587,2,0.836452
F0,L588,0,0.164803
F0,L589,1,0.873815
F0,L590,0,0.372687
F0,L591,2,0.453197
F0,L592,2,0.086359
F0,L593,2,0.119891
F0,L594,1,0.129179
F0,L595,0,0.39566
F0,L596,0,0.725313
F0,L597,2,0.419399
F0,L598,2,0.033086
F0,L599,1,0.254309
F0,L600,0,0.750049
F0,L601,1,0.186681
F0,L602,2,0.358075
F0,L603,2,0.300337
F0,L604,0,0.840851
F0,L605,1,0.881174
F0,L606,2,0.801673
F0,L607,0,0.745179
F0,L608,2,0.198291
F0,L609,0,0.600138
F0,L610,0,0.246858
F0,L611,1,0.221958
F0,L612,2,0.762871
F0,L613,2,0.822298
F0,L614,0,0.818202
F0,L615,2,0.092357
F0,L616,1,0.521903
F0,L617,0,0.512882
F0,L618,2,0.84634
F0,L619,1,0.060182
F0,L620,2,0.887934
F0,L621,2,0.539206
F0,L622,0,0.885216
F0,L623,1,0.222492
F0,L624,2,0.894882
F0,L625,1,0.05622
F0,L626,0,0.257721
F0,L627,2,0.912515
F0,L628,0,0.991549
F0,L629,0,0.591058
F0,L630,0,0.909773
F0,L631,1,0.771674
F0,L632,0,0.307425
F0,L633,1,0.981601
F0,L634,2,0.10049
F0,L635,0,0.451488
F0,L636,0,0.134476
F0,L637,0,0.962865
F0,L638,0,0.663217
F0,L639,2,0.194712
F0,L640,0,0.894942
F0,L641,1,0.012523
F0,L642,2,0.052555
F0,L643,2,0.518177
F0,L644,0,0.354403
F0,L645,0,0.388138
F0,L646,2,0.006297
F0,L647,2,0.040932
F0,L648,0,0.269391
F0,L649,0,0.048444
F0,L650,1,0.555718
F0,L651,2,0.628539
F0,L652,1,0.928718
F0,L653,2,0.143055
F0,L654,2,0.016979
F0,L655,2,0.900101
F0,L656,1,0.229015
F0,L657,2,0.882804
F0,L658,1,0.991523
F0,L659,2,0.445537
F0,L660,0,0.510719
F0,L661,2,0.128993
F0,L662,1,0.842096
F0,L663,0,0.987959
F0,L664,2,0.536013
F0,L665,0,0.836472
F0,L666,0,0.438154
F0,L667,1,0.095183
F0,L668,2,0.801952
F0,L669,2,0.283932
F0,L670,0,0.571496
F0,L671,0,0.77535
F0,L672,2,0.108929
F0,L673,1,0.665969
F0,L674,1,0.518498
F0,L675,1,0.498597
F0,L676,0,0.62746
F0,L677,1,0.305614
F0,L678,2,0.004674
F0,L679,2,0.468324
F0,L680,0,0.977498
F0,L681,1,0.282575
F0,L682,2,0.842618
F0,L683,1,0.654856
F0,L684,1,0.328597
F0,L685,1,0.330453
F0,L686,2,0.84487
